ticker,date,total_revenue,cost_of_revenue,gross_profit,operating_expense,operating_income,net_non_operating_interest_income_expense,other_income_expense,pretax_income,tax_provision,net_income_common_stockholders,diluted_ni_available_to_com_stockholders,basic_eps,diluted_eps,basic_average_shares,diluted_average_shares,total_operating_income_as_reported,total_expenses,net_income_from_continuing_&_discontinued_operation,normalized_income,interest_income,interest_expense,net_interest_income,ebit,ebitda,reconciled_cost_of_revenue,reconciled_depreciation,net_income_from_continuing_operation_net_minority_interest,normalized_ebitda,tax_rate_for_calcs,total_unusual_items_excluding_goodwill,total_unusual_items,tax_effect_of_unusual_items,rent_expense_supplemental,average_dilution_earnings,credit_losses_provision,non_interest_expense,special_income_charges,interest_income_after_provision_for_loan_loss,total_money_market_investments,earnings_from_equity_interest_net_of_tax,income_from_associates_&_other_participating_interests,other_non_operating_income_expenses
EXEL,TTM,2081598.0,78004.0,2003594.0,1395317.0,608277.0,77249.0,-85620.0,599906.0,132982.0,466924.0,466924.0,1.58,1.55,296020.0,301001.75,523199.0,1473321.0,466924.0,533142.64,77249.0,,77249.0,608277.0,635964.0,78004.0,27687.0,466924.0,721042.0,0.0,-85078.0,-85078.0,-18859.36,,,,,,,,,,
EXFY,TTM,138525.0,63135.0,75390.0,97848.0,-22458.0,-3758.0,,-26216.0,4536.0,-30752.0,-30752.0,-0.37,-0.37,84481.756,84481.756,-22458.0,160983.0,-30752.0,-30752.0,,3758.0,-3758.0,-22458.0,-17030.0,63135.0,5428.0,-30752.0,-17030.0,0.0002,,,,,,,,,,,,,
EXK,TTM,225927.0,186240.0,39687.0,31274.0,8413.0,-832.0,-27210.0,-19629.0,9823.0,-29452.0,-29452.0,-0.13,-0.13,231136.55,231479.054,8989.0,217514.0,-29452.0,-6323.5,,832.0,-832.0,-18797.0,12753.0,155719.0,31550.0,-29452.0,39963.0,0.0002,-27210.0,-27210.0,-4081.5,,,,,,,,,,
EXLS,TTM,1771004.0,1111547.0,659457.0,412813.0,246644.0,-7542.0,7730.0,246832.0,58849.0,187908.0,187908.0,1.14,1.14,163708.84,165182.72,246644.0,1524360.0,187908.0,182244.11,9753.0,17295.0,-7542.0,264127.0,336762.0,1090265.0,72635.0,187908.0,329325.0,0.0,7437.0,7437.0,1773.11,,,,,,,,-75.0,,
EXP,TTM,2267848.0,1576828.0,691020.0,65068.0,625952.0,-41212.0,39744.0,624484.0,140885.0,483599.0,483599.0,14.26,14.14,34019.91,34307.8,,1641896.0,483599.0,483599.0,1410.0,42622.0,-41212.0,667106.0,820486.0,1576828.0,153380.0,483599.0,820486.0,0.0,,,,,,,,,,,,,
EXPD,TTM,9923578.0,8687069.0,1236509.0,296892.0,939617.0,48627.0,9649.0,997893.0,263271.0,732914.0,732914.0,5.16,5.13,142388.75,143187.75,939617.0,8983961.0,732914.0,732914.0,53427.0,,48627.0,1019512.0,1086812.0,8687069.0,67300.0,732914.0,1086812.0,0.0,,,,240007.0,,,,,,,,,
EXPE,TTM,13394000.0,1448000.0,11946000.0,10418000.0,1528000.0,-15000.0,-135000.0,1378000.0,319000.0,1067000.0,1067000.0,8.06,7.69,133822.0,140090.25,1207000.0,11866000.0,1067000.0,1174590.71,230000.0,245000.0,-15000.0,1623000.0,2457000.0,1448000.0,834000.0,1067000.0,2597000.0,0.0,-140000.0,-140000.0,-32409.29,,,,,,,,,,
EXPI,TTM,4458228.0,4120480.0,337748.0,335521.0,2227.0,,-39275.0,-37048.0,-3916.0,-32959.0,-32959.0,-0.22,-0.22,153826.45,153826.45,-40976.0,4456001.0,-32959.0,5504.41,,,,2227.0,12713.0,4120480.0,10486.0,-33132.0,55916.0,0.0,-43203.0,-43203.0,-4566.59,,,,,,,,,,
EXPO,TTM,544648.0,,,433950.0,110698.0,9345.0,26087.0,146130.0,39788.0,106342.0,106342.0,2.08,2.06,51077.75,51520.25,110698.0,433950.0,106342.0,96113.14,9345.0,,9345.0,110698.0,120278.0,,9580.0,106342.0,106222.0,0.0,14056.0,14056.0,3827.14,,,,,,,,,,
EXTR,TTM,1033270.0,445868.0,587402.0,658339.0,-70937.0,-12914.0,-35901.0,-119752.0,5392.0,-125144.0,-125144.0,-0.96,-0.96,129886.5,129886.5,-105818.0,1104207.0,-125144.0,-97588.01,4176.0,17090.0,-12914.0,-102662.0,-74947.0,420195.0,27715.0,-125144.0,-40066.0,0.0,-34881.0,-34881.0,-7325.01,,,,,,,,,,
