Ticker,Datetime,Price
A,2023-06-16 09:30:00,121.13
A,2023-06-20 09:30:00,118.16
A,2023-06-21 09:30:00,118.33
A,2023-06-22 09:30:00,118.68
A,2023-06-23 09:30:00,119.42
A,2023-06-26 09:30:00,118.37
A,2023-06-27 09:30:00,117.04
A,2023-06-28 09:30:00,116.37
A,2023-06-29 09:30:00,118.05
A,2023-06-30 09:30:00,120.25
A,2023-07-03 09:30:00,119.32
A,2023-07-05 09:30:00,119.5
A,2023-07-06 09:30:00,118.43
A,2023-07-07 09:30:00,117.0
A,2023-07-10 09:30:00,118.36
A,2023-07-11 09:30:00,118.48
A,2023-07-12 09:30:00,120.0
A,2023-07-13 09:30:00,119.35
A,2023-07-14 09:30:00,119.75
A,2023-07-17 09:30:00,118.25
A,2023-07-18 09:30:00,119.56
A,2023-07-19 09:30:00,123.08
A,2023-07-20 09:30:00,124.55
A,2023-07-21 09:30:00,127.62
A,2023-07-24 09:30:00,127.72
A,2023-07-25 09:30:00,127.31
A,2023-07-26 09:30:00,128.47
A,2023-07-27 09:30:00,126.66
A,2023-07-28 09:30:00,126.05
A,2023-07-31 09:30:00,121.77
A,2023-08-01 09:30:00,122.48
A,2023-08-02 09:30:00,127.71
A,2023-08-03 09:30:00,125.05
A,2023-08-04 09:30:00,126.3
A,2023-08-07 09:30:00,126.51
A,2023-08-08 09:30:00,128.35
A,2023-08-09 09:30:00,127.63
A,2023-08-10 09:30:00,127.65
A,2023-08-11 09:30:00,126.86
A,2023-08-14 09:30:00,126.65
A,2023-08-15 09:30:00,125.65
A,2023-08-16 09:30:00,121.36
A,2023-08-17 09:30:00,120.85
A,2023-08-18 09:30:00,119.25
A,2023-08-21 09:30:00,118.86
A,2023-08-22 09:30:00,117.64
A,2023-08-23 09:30:00,119.13
A,2023-08-24 09:30:00,119.49
A,2023-08-25 09:30:00,119.68
A,2023-08-28 09:30:00,119.92
A,2023-08-29 09:30:00,122.02
A,2023-08-30 09:30:00,122.68
A,2023-08-31 09:30:00,121.07
A,2023-09-01 09:30:00,121.91
