ticker,date,total_revenue,cost_of_revenue,gross_profit,operating_expense,operating_income,net_non_operating_interest_income_expense,other_income_expense,pretax_income,tax_provision,net_income_common_stockholders,diluted_ni_available_to_com_stockholders,basic_eps,diluted_eps,basic_average_shares,diluted_average_shares,total_operating_income_as_reported,total_expenses,net_income_from_continuing_&_discontinued_operation,normalized_income,interest_income,interest_expense,net_interest_income,ebit,ebitda,reconciled_cost_of_revenue,reconciled_depreciation,net_income_from_continuing_operation_net_minority_interest,normalized_ebitda,tax_rate_for_calcs,total_unusual_items_excluding_goodwill,total_unusual_items,tax_effect_of_unusual_items,rent_expense_supplemental,average_dilution_earnings,credit_losses_provision,non_interest_expense,special_income_charges,interest_income_after_provision_for_loan_loss,total_money_market_investments,earnings_from_equity_interest_net_of_tax,income_from_associates_&_other_participating_interests
AMG,TTM,2019200,921000,1098200,407900,690300,-129500,362800,923600,159900,545600,569600,16.88,15.39,31950,36425,,1328900,545600,471264.11,,129500,-129500,1053100,1098100,921000,45000,545600,1008200,0,89900,89900,15564.11,,24000,,,,,,,
AMGN,TTM,32534000,12858000,19676000,13458000,6218000,-3229000,1690000,4679000,449000,4230000,4230000,7.89,7.83,536500,540250,6218000,26316000,4230000,4230000,,3229000,-3229000,7908000,13483000,12858000,5575000,4230000,13483000,0,,,,,,,,,,,,
AMIX,TTM,,,,9356,-9356,96,,-17260,,-17260,-17260,-0.90,-0.90,19242.08,19242.08,-13912,9356,-17260,-9260,216,120,96,-17140,-17016,,124,-17260,-9016,,-8000,-8000,,,,,,,,,,
AMKR,TTM,6440385,5474774,965611,502927,462684,881,-16610,446955,78209,365925,365925,1.48,1.48,246129,247714.50,462684,5977701,365925,380227.52,64225,63344,881,510299,1114881,5474774,604582,365925,1132217,0,-17336,-17336,-3033.48,,,,,,,,,
AMLI,TTM,,378.4380,-378.4380,26680.8570,-27059.2950,633.9810,-4835.2360,-31260.5500,,-31260.5500,-31260.5500,-0.15,-0.15,216228.1760,217784.5010,,27059.2950,-31260.5500,-26379.8830,639.7210,5.7400,633.9810,-31254.8100,-30876.3720,378.4380,378.4380,-31260.5500,-25995.7050,,-4880.6670,-4880.6670,,,,,,,,,,
AMLX,TTM,196485,133993,62492,275581,-213089,15864,-60254,-257479,1987,-259466,-259466,-3.82,-3.82,67884.12,68376.56,-272143,409574,-259466,-212813.34,15864,,15864,-213089,-212044,133993,1045,-259466,-152990,0,-59054,-59054,-12401.34,,,,,,,,,
AMN,TTM,3067341,2106005,961336,827287,134049,-66952,,67097,14054,53043,53043,1.43,1.43,38135,38225.75,134049,2933292,53043,53043,,66952,-66952,134049,309486,2098825,175437,53043,309486,0,,,,,,,,,,,,
AMP,TTM,16755000,,,,,,,3409000,702000,2707000,2707000,29.78,29.23,103250,105200,,13346000,2707000,2707000,,336000,,3745000,,,-165000,2707000,,0,,,,,,,,,,,,
AMPG,TTM,12219.8200,6788.4650,5431.3550,9877.6320,-4446.2770,-14.3310,-3157.5390,-7618.1470,24,-7642.1470,-7642.1470,-0.79,-0.79,9699.4150,9699.4150,-4446.2770,16666.0970,-7642.1470,-5147.6912,,30.2820,-14.3310,-4446.2770,-3341.7300,6788.4650,1104.5470,-7642.1470,-184.1910,0.0002,-3157.5390,-3157.5390,-663.0832,,,,,,,,,
AMPH,TTM,723549,340202,383347,169092,214255,-22751,-4357,187147,28347,157722,157722,3.25,3.01,48424,52483.50,214255,509294,157722,157722,10623,33374,-22751,220521,276851,340202,56330,157722,276851,0,,,,,,,,,,,-1078,
AMPL,TTM,292544,75383,217161,310628,-93467,,15111,-78356,1916,-80272,-80272,-0.65,-0.65,121768.75,121768.75,,386011,-80272,-80313.08,,,,-93467,-87910,75383,5557,-80272,-87962,0,52,52,10.92,,,,,,,,,
AMPS,TTM,172390,38271,134119,109583,24536,-60574,21211,-14827,-18843,23357,23357,0.14,0.13,159096.5660,161076.6560,20183,147854,23357,26887.5100,,60574,-60574,45747,108335,38271,62588,23357,112804,0.0002,-4469,-4469,-938.4900,,,,,,,,,
AMPX,TTM,12161,31526,-19365,22761,-42126,135,-1017,-40629,,-40629,-40629,-0.45,-0.45,90499.3580,90499.3580,-42126,54287,-40629,-40048,,,135,-42126,-39123,31526,3003,-40629,-38542,,-581,-581,,,,,,,,,,
AMPY,TTM,304645,194319,110326,63611,46715,-14726,45446,77435,13482,61142,61142,1.55,1.55,39483.75,39483.75,92415,257930,63953,25781.07,,14726,-14726,92161,123964,194319,31803,63953,77745,0,46219,46219,8047.07,,,,,,,,,
AMR,TTM,3369852,2712394,657458,114423,543035,10238,-30602,522671,66937,455734,455734,27.89,27.27,13052.68,13272.90,543035,2826817,455734,458134.43,15772,5534,10238,528205,694990,2712394,166785,455734,697743,0,-2753,-2753,-352.57,,,,,,,,,
AMRC,TTM,1678629,1415152,263477,162350,101127,-64573,-5839,30715,-18407,53408,53408,1.02,1.00,52326,53107.25,98180,1577502,53407,55995.04,,64573,-64573,95288,176488,1415152,81200,53407,179764,0,-3276,-3276,-687.96,,,,,,,,,
AMRK,TTM,9699039,9525784,173255,101197,72058,-12363,23083,82778,13745,68546,68546,2.97,2.84,23091.70,24120.80,,9626981,68546,68296.65,27168,39531,-12363,122309,133706,9525784,11397,68546,133407,0,299,299,49.65,,,,,,,,,
AMRX,TTM,2597992,1687627,910365,631503,278862,-282684,-111799,-115621,17581,-174616,-174616,-0.79,-0.79,253771,253771,174565,2319130,-174616,-79367.28,,241879,-282684,126258,351497,1687627,225239,-174616,472065,0,-120568,-120568,-25319.28,,,,,,,,,
