Stock,Date,Stock Price,Dividend Amount,Dividend Yield
ALB,2021-03-11,160.3798370361328,0.39,0.0024317271248513296,Quarterly
ALB,2021-06-10,167.22792053222656,0.39,0.0023321464427636827,Quarterly
ALB,2021-09-16,230.87388610839844,0.39,0.0016892339214877239,Quarterly
ALB,2021-12-16,230.9199981689453,0.39,0.0016888966009547118,Quarterly
ARE,2020-03-30,138.5641326904297,1.03,0.007433381063345982,Quarterly
ARE,2020-06-29,155.85057067871094,1.06,0.0068013867089727325,Quarterly
ARE,2020-09-29,155.2311553955078,1.06,0.006828526124792827,Quarterly
ARE,2020-12-30,171.0099334716797,1.09,0.006373898743025421,Quarterly
ARE,2021-03-30,163.44869995117188,1.09,0.006668759068292516,Quarterly
ARE,2021-06-29,181.01417541503906,1.12,0.0061873607270370055,Quarterly
ARE,2021-09-29,191.8480682373047,1.12,0.005837952971278431,Quarterly
ARE,2021-12-30,223.16000366210938,1.15,0.005153253186629428,Quarterly
ALLE,2020-03-16,95.7499008178711,0.32,0.0033420400153592023,Quarterly
ALLE,2020-06-15,100.90611267089844,0.32,0.0031712647681084315,Quarterly
ALLE,2020-09-15,99.52674865722656,0.32,0.0032152160531445737,Quarterly
ALLE,2020-12-15,110.48023223876953,0.32,0.0028964457579018933,Quarterly
ALLE,2021-03-16,120.37190246582031,0.36,0.0029907311642118663,Quarterly
ALLE,2021-06-15,137.76490783691406,0.36,0.0026131473221480146,Quarterly
ALLE,2021-09-15,140.8237762451172,0.36,0.0025563864966480212,Quarterly
ALLE,2021-12-17,127.88999938964844,0.36,0.0028149190845108314,Quarterly
LNT,2020-01-30,56.87093734741211,0.38,0.006681795970385773,Quarterly
LNT,2020-04-29,47.64783477783203,0.38,0.007975178762515217,Quarterly
LNT,2020-07-30,52.2197380065918,0.38,0.00727694190943723,Quarterly
LNT,2020-10-29,54.33977127075195,0.38,0.006993036428265804,Quarterly
LNT,2021-01-28,48.27328872680664,0.403,0.008348302148641679,Quarterly
LNT,2021-04-29,55.004085540771484,0.403,0.007326728479128672,Quarterly
LNT,2021-07-29,58.900001525878906,0.403,0.00684210508590452,Quarterly
ALL,2020-02-28,100.13294219970703,0.54,0.0053928306523043515,Quarterly
ALL,2020-05-28,94.002197265625,0.54,0.005744546571332847,Quarterly
ALL,2020-08-27,90.5770263671875,0.54,0.0059617766409211775,Quarterly
ALL,2020-11-27,100.73247528076172,0.54,0.005360733948956493,Quarterly
ALL,2021-03-03,108.41429138183594,0.81,0.00747133970693194,Quarterly
ALL,2021-06-03,133.5579833984375,0.81,0.0060647815981435095,Quarterly
ALL,2021-08-30,132.63377380371094,0.81,0.006107041794639317,Quarterly
ALL,2021-11-29,112.34403228759766,0.81,0.007209995791555907,Quarterly
ALL,2022-02-25,124.16999816894531,0.85,0.006845453914265929,Quarterly
MO,2020-03-24,28.331575393676758,0.84,0.029648898387326428,Quarterly
MO,2020-06-12,34.98560333251953,0.84,0.024009876062912144,Quarterly
MO,2020-09-14,39.2194938659668,0.86,0.021927870944461005,Quarterly
MO,2020-12-24,38.83100891113281,0.86,0.022147248400580157,Quarterly
MO,2021-03-24,46.879756927490234,0.86,0.01834480501531135,Quarterly
MO,2021-06-14,46.326385498046875,0.86,0.018563934802041868,Quarterly
MO,2021-09-14,47.45869445800781,0.9,0.018963859210167147,Quarterly
MO,2021-12-22,46.880001068115234,0.9,0.019197951781023362,Quarterly
AMCR,2020-03-03,8.838041305541992,0.115,0.01301193285076502,Quarterly
AMCR,2020-05-27,9.192584991455078,0.115,0.01251008286645135,Quarterly
AMCR,2020-09-02,10.766468048095703,0.115,0.010681311595063006,Quarterly
AMCR,2020-11-23,11.007213592529297,0.118,0.010720242594373543,Quarterly
AMCR,2021-02-23,10.929877281188965,0.118,0.010796095597805633,Quarterly
AMCR,2021-05-25,11.3787841796875,0.118,0.010370176473743496,Quarterly
AMCR,2021-09-07,11.97519588470459,0.1175,0.009811948057574387,Quarterly
AMCR,2021-11-23,11.651111602783203,0.12,0.01029944644692396,Quarterly
AMCR,2022-02-22,11.699999809265137,0.12,0.010256410423611542,Quarterly
AEE,2020-03-10,78.88825988769531,0.495,0.006274697917087764,Quarterly
AEE,2020-06-09,72.36017608642578,0.495,0.00684077937301839,Quarterly
AEE,2020-09-08,74.87725067138672,0.495,0.006610819648979944,Quarterly
AEE,2020-12-08,75.23729705810547,0.515,0.00684500932565756,Quarterly
AEE,2021-03-09,73.3072509765625,0.55,0.007502668462848836,Quarterly
AEE,2021-06-08,83.68197631835938,0.55,0.006572502517239582,Quarterly
AEE,2021-09-07,85.5887222290039,0.55,0.0064260802787591866,Quarterly
AEE,2021-12-07,86.52999877929688,0.55,0.006356177138090897,Quarterly
AAL,2020-02-04,28.43000030517578,0.1,0.0035174111476106687,Irregular
AEP,2020-02-07,94.55663299560547,0.7,0.007402970873894511,Quarterly
AEP,2020-05-07,73.99593353271484,0.7,0.009459979306707689,Quarterly
AEP,2020-08-07,82.20133209228516,0.7,0.008515677084333978,Quarterly
AEP,2020-11-09,86.37847137451172,0.74,0.008566949475079005,Quarterly
AEP,2021-02-09,77.11122131347656,0.74,0.009596528071987258,Quarterly
AEP,2021-05-07,84.92316436767578,0.74,0.008713759143455391,Quarterly
AEP,2021-08-09,87.17440795898438,0.74,0.00848872986149984,Quarterly
AEP,2021-11-09,82.32191467285156,0.78,0.009474998280831185,Quarterly
AEP,2022-02-09,89.37999725341797,0.78,0.008726784783719292,Quarterly
AXP,2020-01-02,122.33452606201172,0.43,0.003514952105851391,Quarterly
