ticker,date,total_assets,total_liabilities_net_minority_interest,total_equity_gross_minority_interest,total_capitalization,common_stock_equity,net_tangible_assets,working_capital,invested_capital,tangible_book_value,total_debt,net_debt,share_issued,ordinary_shares_number,capital_lease_obligations,preferred_stock_equity,preferred_shares_number,treasury_shares_number
ACIC,12/31/2023,1060383,891618,168765,317453,168765,99966,,317453,99966,149464,,46989.09,46777.01,776,,,212.08
ACIU,12/31/2023,182814,22171,160643,160643,160643,110227,111577,160643,110227,3497,,104441.7870,99197.8290,3497,,,5243.9580
ACIW,12/31/2023,3444739,2120442,1324297,2287896,1324297,-205793,369396,2362301,-205793,1076426,873765,140525.06,108077.74,38422,,,32447.32
ACLS,12/31/2023,1281967,417085,864882,864882,864882,864882,794862,864882,864882,45185,,32685,32685,45185,,,
ACLX,12/31/2023,825132,339752,485380,485380,485380,485380,598125,485380,485380,97625,,52280.08,52280.08,97625,,,
ACM,9/30/2023,11233398,8849687,2383711,4325701,2212332,-1224398,319228,4415155,-1224398,2751674,942617,136210.88,136210.88,548851,,,
ACMR,12/31/2023,1490908,564746,926162,821342,767390,756485,675451,859460,756485,99096,,61057.98,61057.98,7026,,,
ACN,8/31/2024,55932363,26764115,29168248,28367274,28288646,4264436,1881654,29313503,4264436,4120549,,673426.44,626000,3095692,,,47426.44
ACNB,12/31/2023,2418847,2141386,277461,472753,277461,224194,,499635,224194,224789,156216,8896.12,8511.45,2615,,,384.67
ACNT,12/31/2022,269043,134784,134259,203344,134259,112869,136897,203731,112869,105342,68032,11085.10,10160.60,33406,,,924.50
ACOG,,,,,,,,,,,,,,,,,,
ACON,12/31/2023,2459.7740,3187.7690,-727.9950,-727.9950,-727.9950,-1896.6180,-1898.4000,397.7290,-1896.6180,1125.7240,104.6550,825.3890,825.3890,,,,
ACRS,12/31/2023,197405,40226,157179,157179,157179,156910,97904,157179,156910,426,,70894.8890,70894.8890,426,,,
ACRV,12/31/2023,138265,17070,121195,121195,121195,121195,116389,121195,121195,4644,,22522.64,22522.64,4644,,,
ACT,12/31/2023,6190473,1558126,4632347,5377763,4632347,4632347,,5377763,4632347,745416,129733,159344,159344,,,,
ACTG,12/31/2023,633545,43936,589609,578791,568266,525720,526876,578791,525720,13509,,116079.1760,99895.4730,2984,,350,16183.7030
ACTU,12/31/2023,2995.57,102622.08,-99626.51,-99626.51,-99626.51,-99626.51,-3925.03,-99626.51,-99626.51,,,19111.64,19111.64,,,,
ACU,12/31/2023,149241.32,51342.63,97898.68,121287.36,97898.68,70708.41,66011.85,121287.36,70708.41,25933.28,18592.73,5190.07,3645.20,2125.29,,,1544.87
