ticker,first_trade_date,long_name,short_name,sector,industry,address,website
FHI,895152600,"Federated Hermes, Inc.","Federated Hermes, Inc.",Financial Services,Asset Management,"1001 Liberty Avenue Pittsburgh, PA 15222-3779 United States",https://www.federatedinvestors.com
FHN,322151400,First Horizon Corporation,First Horizon Corporation,Financial Services,Banks - Regional,"165 Madison Avenue 23th floor Memphis, TN 38103 United States",https://www.firsthorizon.com
FHTX,1603459800,Foghorn Therapeutics Inc.,Foghorn Therapeutics Inc.,Healthcare,Biotechnology,"500 Technology Square Suite 700 Cambridge, MA 02139 United States",https://foghorntx.com
FI,528039000,"Fiserv, Inc.","Fiserv, Inc.",Technology,Information Technology Services,"600 N. Vel R. Phillips Ave Milwaukee, WI 53203 United States",https://www.fiserv.com
FIBK,1269437400,"First Interstate BancSystem, Inc.","First Interstate BancSystem, In",Financial Services,Banks - Regional,"401 North 31st Street Billings, MT 59101 United States",https://www.fibk.com
FICO,553959000,Fair Isaac Corporation,Fair Isaac Corporation,Technology,Software - Application,"5 West Mendenhall Suite 105 Bozeman, MT 59715 United States",https://www.fico.com
FIGS,1622122200,"FIGS, Inc.","FIGS, Inc.",Consumer Cyclical,Apparel Manufacturing,"2834 Colorado Avenue Suite 100 Santa Monica, CA 90404 United States",https://www.wearfigs.com
FIHL,1688045400,Fidelis Insurance Holdings Limited,Fidelis Insurance Holdings Limi,Financial Services,Insurance - Diversified,"Waterloo House South 90 Pitts Bay Road Pembroke, HM08 Bermuda",https://www.fidelisinsurance.com
FINW,1637332200,FinWise Bancorp,FinWise Bancorp,Financial Services,Banks - Regional,"756 East Winchester St. Suite 100 Murray, UT 84107 United States",https://www.finwisebancorp.com
FIP,1658323800,FTAI Infrastructure Inc.,FTAI Infrastructure Inc.,Industrials,Conglomerates,"1345 Avenue Of The Americas 45th Floor New York, NY 10105 United States",https://www.fipinc.com
FIS,993043800,"Fidelity National Information Services, Inc.",Fidelity National Information S,Technology,Information Technology Services,"347 Riverside Avenue Jacksonville, FL 32202 United States",https://www.fisglobal.com
FISI,930317400,"Financial Institutions, Inc.","Financial Institutions, Inc.",Financial Services,Banks - Regional,"220 Liberty Street Warsaw, NY 14569 United States",https://www.fisi-investors.com
FITB,322151400,Fifth Third Bancorp,Fifth Third Bancorp,Financial Services,Banks - Regional,"38 Fountain Square Plaza Cincinnati, OH 45263 United States",https://www.53.com
FIVE,1342704600,"Five Below, Inc.","Five Below, Inc.",Consumer Cyclical,Specialty Retail,"701 Market Street Suite 300 Philadelphia, PA 19106 United States",https://www.fivebelow.com
FIVN,1396618200,"Five9, Inc.","Five9, Inc.",Technology,Software - Infrastructure,"3001 Bishop Drive Suite 350 San Ramon, CA 94583 United States",https://www.five9.com
FIX,867418200,"Comfort Systems USA, Inc.","Comfort Systems USA, Inc.",Industrials,Engineering & Construction,"675 Bering Drive Suite 400 Houston, TX 77057 United States",https://comfortsystemsusa.com
FIZZ,684768600,National Beverage Corp.,National Beverage Corp.,Consumer Defensive,Beverages - Non-Alcoholic,"8100 SW Tenth Street Suite 4000 Fort Lauderdale, FL 33324 United States",https://www.nationalbeverage.com
FKWL,1186147800,Franklin Wireless Corp.,Franklin Wireless Corp.,Technology,Communication Equipment,"3940 Ruffin Road Suite C San Diego, CA 92123 United States",https://www.franklinwireless.com
FL,-252322200,"Foot Locker, Inc.","Foot Locker, Inc.",Consumer Cyclical,Apparel Retail,"330 West 34th Street New York, NY 10001 United States",https://www.footlocker.com/corp
